go,cluster,parent,parentSimScore,score,size,term,parentTerm
GO:0007166,13,GO:0023051,0.508,4.585248196121765,11,cell surface receptor signaling pathway,regulation of signaling
GO:0008285,23,GO:0008283,0.834,4.585248196121765,7,negative regulation of cell population proliferation,cell population proliferation
GO:0007267,13,GO:0023051,0.508,4.585248196121765,14,cell-cell signaling,regulation of signaling
GO:0002009,25,GO:0009888,0.869,4.585248196121765,23,morphogenesis of an epithelium,tissue development
GO:0043068,17,GO:0010941,0.902,4.585248196121765,14,positive regulation of programmed cell death,regulation of cell death
GO:0060070,13,GO:0023051,0.401,4.585248196121765,33,canonical Wnt signaling pathway,regulation of signaling
GO:0007093,22,GO:0022402,0.702,4.585248196121765,2,mitotic cell cycle checkpoint signaling,cell cycle process
GO:1901983,2,GO:0031323,0.386,4.585248196121765,0,regulation of protein acetylation,regulation of cellular metabolic process
GO:0045727,32,GO:0034248,0.849,4.585248196121765,15,positive regulation of translation,regulation of cellular amide metabolic process
GO:0048514,10,GO:0048731,0.464,4.585248196121765,0,blood vessel morphogenesis,system development
GO:0048598,4,GO:0032501,0.459,4.585248196121765,43,embryonic morphogenesis,multicellular organismal process
GO:0030855,25,GO:0009888,0.798,4.585248196121765,0,epithelial cell differentiation,tissue development
GO:0006518,32,GO:0034248,0.771,4.585248196121765,9,peptide metabolic process,regulation of cellular amide metabolic process
GO:1903319,2,GO:0031323,0.386,4.585248196121765,0,positive regulation of protein maturation,regulation of cellular metabolic process
GO:1902807,22,GO:0022402,0.588,4.585248196121765,3,negative regulation of cell cycle G1/S phase transition,cell cycle process
GO:0044774,22,GO:0022402,0.663,4.585248196121765,0,mitotic DNA integrity checkpoint signaling,cell cycle process
GO:0045930,22,GO:0022402,0.637,4.585248196121765,2,negative regulation of mitotic cell cycle,cell cycle process
GO:0031647,3,GO:0065008,0.652,4.585248196121765,19,regulation of protein stability,regulation of biological quality
GO:0072331,9,GO:0010646,0.359,4.585248196121765,0,signal transduction by p53 class mediator,regulation of cell communication
GO:0071331,7,GO:0042221,0.453,4.585248196121765,0,cellular response to hexose stimulus,response to chemical
GO:0003007,10,GO:0048731,0.488,4.585248196121765,2,heart morphogenesis,system development
GO:0071326,7,GO:0042221,0.453,4.585248196121765,0,cellular response to monosaccharide stimulus,response to chemical
GO:0051606,6,GO:0033554,0.34,4.585248196121765,0,detection of stimulus,cellular response to stress
GO:1903321,2,GO:0031323,0.364,4.585248196121765,0,negative regulation of protein modification by small protein conjugation or removal,regulation of cellular metabolic process
GO:0090276,28,GO:0032879,0.591,4.585248196121765,0,regulation of peptide hormone secretion,regulation of localization
GO:0030330,9,GO:0010646,0.341,4.585248196121765,0,"DNA damage response, signal transduction by p53 class mediator",regulation of cell communication
GO:0001678,3,GO:0065008,0.576,4.585248196121765,6,cellular glucose homeostasis,regulation of biological quality
GO:1901988,22,GO:0022402,0.738,4.585248196121765,0,negative regulation of cell cycle phase transition,cell cycle process
GO:0090068,22,GO:0022402,0.718,4.585248196121765,0,positive regulation of cell cycle process,cell cycle process
GO:0051047,15,GO:0051179,0.378,4.585248196121765,0,positive regulation of secretion,localization
GO:0051046,15,GO:0051179,0.423,4.585248196121765,2,regulation of secretion,localization
GO:0009749,7,GO:0042221,0.453,4.585248196121765,0,response to glucose,response to chemical
GO:2000134,22,GO:0022402,0.566,4.585248196121765,4,negative regulation of G1/S transition of mitotic cell cycle,cell cycle process
GO:0002791,28,GO:0032879,0.608,4.585248196121765,1,regulation of peptide secretion,regulation of localization
GO:0032024,3,GO:0065008,0.487,4.585248196121765,1,positive regulation of insulin secretion,regulation of biological quality
GO:0042063,10,GO:0048731,0.551,4.585248196121765,0,gliogenesis,system development
GO:0031397,2,GO:0031323,0.353,4.585248196121765,1,negative regulation of protein ubiquitination,regulation of cellular metabolic process
GO:0021782,10,GO:0048731,0.464,4.585248196121765,1,glial cell development,system development
GO:0072175,10,GO:0048731,0.326,4.585248196121765,0,epithelial tube formation,system development
GO:0050821,3,GO:0065008,0.599,4.585248196121765,14,protein stabilization,regulation of biological quality
GO:0050796,28,GO:0032879,0.591,4.585248196121765,0,regulation of insulin secretion,regulation of localization
GO:0048646,8,GO:0048869,0.429,4.585248196121765,0,anatomical structure formation involved in morphogenesis,cellular developmental process
GO:0034284,7,GO:0042221,0.453,4.585248196121765,0,response to monosaccharide,response to chemical
GO:0034250,32,GO:0034248,0.853,4.585248196121765,0,positive regulation of cellular amide metabolic process,regulation of cellular amide metabolic process
GO:1903317,2,GO:0031323,0.408,4.585248196121765,0,regulation of protein maturation,regulation of cellular metabolic process
GO:1901991,22,GO:0022402,0.687,4.585248196121765,0,negative regulation of mitotic cell cycle phase transition,cell cycle process
GO:0090277,3,GO:0065008,0.487,4.585248196121765,0,positive regulation of peptide hormone secretion,regulation of biological quality
GO:0072359,10,GO:0048731,0.539,4.585248196121765,0,circulatory system development,system development
GO:0071322,7,GO:0042221,0.453,4.585248196121765,0,cellular response to carbohydrate stimulus,response to chemical
