go,cluster,parent,parentSimScore,score,size,term,parentTerm
GO:1903047,17,GO:0051726,0.706,2.746507132063104,0,mitotic cell cycle process,regulation of cell cycle
GO:1902749,17,GO:0051726,0.747,2.746507132063104,1,regulation of cell cycle G2/M phase transition,regulation of cell cycle
GO:0140056,31,GO:0140056,0.999,2.746507132063104,0,organelle localization by membrane tethering,organelle localization by membrane tethering
GO:0120036,1,GO:0071840,0.631,2.746507132063104,1,plasma membrane bounded cell projection organization,cellular component organization or biogenesis
GO:0120031,1,GO:0071840,0.508,2.746507132063104,0,plasma membrane bounded cell projection assembly,cellular component organization or biogenesis
GO:0070925,1,GO:0071840,0.582,2.746507132063104,0,organelle assembly,cellular component organization or biogenesis
GO:0060271,1,GO:0071840,0.502,2.746507132063104,75,cilium assembly,cellular component organization or biogenesis
GO:0051346,9,GO:0065009,0.826,2.746507132063104,0,negative regulation of hydrolase activity,regulation of molecular function
GO:0045936,16,GO:0051174,0.87,2.746507132063104,0,negative regulation of phosphate metabolic process,regulation of phosphorus metabolic process
GO:0044839,17,GO:0051726,0.528,2.746507132063104,0,cell cycle G2/M phase transition,regulation of cell cycle
GO:0044782,1,GO:0071840,0.523,2.746507132063104,2,cilium organization,cellular component organization or biogenesis
GO:0044772,17,GO:0051726,0.601,2.746507132063104,11,mitotic cell cycle phase transition,regulation of cell cycle
GO:0044770,17,GO:0051726,0.632,2.746507132063104,1,cell cycle phase transition,regulation of cell cycle
GO:0044092,9,GO:0065009,0.862,2.746507132063104,0,negative regulation of molecular function,regulation of molecular function
GO:0043086,9,GO:0065009,0.851,2.746507132063104,21,negative regulation of catalytic activity,regulation of molecular function
GO:0035305,16,GO:0051174,0.779,2.746507132063104,0,negative regulation of dephosphorylation,regulation of phosphorus metabolic process
GO:0035303,16,GO:0051174,0.834,2.746507132063104,1,regulation of dephosphorylation,regulation of phosphorus metabolic process
GO:0030031,1,GO:0071840,0.51,2.746507132063104,7,cell projection assembly,cellular component organization or biogenesis
GO:0030030,1,GO:0071840,0.639,2.746507132063104,31,cell projection organization,cellular component organization or biogenesis
GO:0022406,31,GO:0140056,0.997,2.746507132063104,0,membrane docking,organelle localization by membrane tethering
GO:0022402,17,GO:0051726,0.77,2.746507132063104,0,cell cycle process,regulation of cell cycle
GO:0010923,16,GO:0051174,0.769,2.746507132063104,1,negative regulation of phosphatase activity,regulation of phosphorus metabolic process
GO:0010921,16,GO:0051174,0.808,2.746507132063104,0,regulation of phosphatase activity,regulation of phosphorus metabolic process
GO:0010563,16,GO:0051174,0.87,2.746507132063104,0,negative regulation of phosphorus metabolic process,regulation of phosphorus metabolic process
GO:0010389,17,GO:0051726,0.744,2.746507132063104,2,regulation of G2/M transition of mitotic cell cycle,regulation of cell cycle
GO:0007049,17,GO:0051726,0.807,2.746507132063104,179,cell cycle,regulation of cell cycle
GO:0000278,17,GO:0051726,0.721,2.746507132063104,54,mitotic cell cycle,regulation of cell cycle
GO:0000086,17,GO:0051726,0.526,2.746507132063104,2,G2/M transition of mitotic cell cycle,regulation of cell cycle
GO:0070828,1,GO:0071840,0.416,2.746507132063104,1,heterochromatin organization,cellular component organization or biogenesis
GO:2000134,17,GO:0051726,0.668,2.746507132063104,4,negative regulation of G1/S transition of mitotic cell cycle,regulation of cell cycle
GO:2000045,17,GO:0051726,0.692,2.746507132063104,0,regulation of G1/S transition of mitotic cell cycle,regulation of cell cycle
GO:1903508,2,GO:0050789,0.332,2.746507132063104,0,positive regulation of nucleic acid-templated transcription,regulation of biological process
GO:1903313,7,GO:0006139,0.396,2.746507132063104,0,positive regulation of mRNA metabolic process,nucleobase-containing compound metabolic process
GO:1903311,7,GO:0006139,0.443,2.746507132063104,0,regulation of mRNA metabolic process,nucleobase-containing compound metabolic process
GO:1902808,17,GO:0051726,0.643,2.746507132063104,0,positive regulation of cell cycle G1/S phase transition,regulation of cell cycle
GO:1902807,17,GO:0051726,0.692,2.746507132063104,3,negative regulation of cell cycle G1/S phase transition,regulation of cell cycle
GO:1902806,17,GO:0051726,0.727,2.746507132063104,4,regulation of cell cycle G1/S phase transition,regulation of cell cycle
GO:1902680,2,GO:0050789,0.332,2.746507132063104,0,positive regulation of RNA biosynthetic process,regulation of biological process
GO:1901991,17,GO:0051726,0.799,2.746507132063104,0,negative regulation of mitotic cell cycle phase transition,regulation of cell cycle
