category,universegenes,universecount
GO:0001923,,1
GO:0001927,,1
GO:0001928,,2
GO:0001931,,6
GO:0001932,,615
GO:0001933,,246
GO:0001934,,391
GO:0001935,,11
GO:0001936,,52
GO:0001937,,13
GO:0001938,,42
GO:0001939,,4
GO:0001940,,5
GO:0001941,,12
GO:0001942,,36
GO:0001944,,220
GO:0001945,,14
GO:0001946,,7
GO:0001947,,51
GO:0001949,,1
GO:0001951,,1
GO:0001952,,52
GO:0001953,,14
GO:0001954,,21
GO:0001955,,1
GO:0001956,,22
GO:0001957,,1
GO:0001958,,17
GO:0001959,,43
GO:0001960,,12
GO:0001961,,12
GO:0001963,,4
GO:0001964,,18
GO:0001965,,11
GO:0001966,,2
GO:0001967,,10
GO:0001968,,8
GO:0001972,,10
GO:0001973,,2
GO:0001974,,15
GO:0001975,,13
GO:0001976,,3
GO:0001977,,1
GO:0001980,,1
GO:0001990,,15
GO:0001991,,10
GO:0001998,,3
GO:0001999,,2
GO:0002001,,2
GO:0002002,,8
GO:0002003,,7
GO:0002009,,562
GO:0002011,,39
GO:0002014,,1
GO:0002016,,2
GO:0002019,,1
GO:0002020,,65
GO:0002021,,9
GO:0002023,,1
GO:0002024,,1
GO:0002026,,16
GO:0002027,,36
GO:0002028,,41
GO:0002029,,9
GO:0002030,,2
GO:0002031,,5
GO:0002032,,1
GO:0002033,,1
GO:0002034,,3
GO:0002035,,1
GO:0002036,,5
GO:0002037,,1
GO:0002038,,1
GO:0002039,,48
GO:0002040,,27
GO:0002041,,1
GO:0002042,,7
GO:0002043,,2
GO:0002044,,1
GO:0002046,,2
GO:0002051,,5
GO:0002052,,18
GO:0002053,,17
GO:0002054,,3
GO:0002057,,1
GO:0002058,,1
GO:0002060,,2
GO:0002061,,1
GO:0002062,,30
GO:0002063,,16
GO:0002064,,286
GO:0002065,,249
GO:0002066,,220
GO:0002067,,25
GO:0002068,,13
GO:0002069,,3
GO:0002070,,5
GO:0002071,,2
GO:0002072,,7
GO:0002074,,1
GO:0002076,,5
GO:0002080,,7
GO:0002081,,4
GO:0002082,,24
GO:0002083,,2
GO:0002084,,7
GO:0002086,,2
GO:0002087,,4
GO:0002088,,34
GO:0002089,,11
GO:0002090,,29
GO:0002091,,6
GO:0002092,,16
GO:0002093,,12
GO:0002094,,3
GO:0002097,,12
GO:0002098,,10
GO:0002101,,2
GO:0002102,,16
GO:0002115,,3
GO:0002118,,6
GO:0002119,,209
GO:0002121,,5
GO:0002133,,1
GO:0002134,,1
GO:0002138,,1
GO:0002139,,3
GO:0002140,,2
GO:0002141,,1
GO:0002142,,1
GO:0002143,,2
GO:0002148,,4
GO:0002149,,4
GO:0002151,,4
GO:0002153,,1
GO:0002154,,1
GO:0002155,,1
GO:0002161,,6
GO:0002162,,3
GO:0002164,,290
GO:0002165,,323
GO:0002168,,45
GO:0002169,,2
GO:0002175,,1
GO:0002176,,2
GO:0002177,,9
GO:0002178,,6
GO:0002181,,90
GO:0002183,,15
GO:0002184,,1
GO:0002188,,3
GO:0002189,,3
GO:0002190,,2
GO:0002191,,2
GO:0002192,,2
GO:0002193,,2
GO:0002196,,2
GO:0002197,,1
GO:0002199,,5
GO:0002200,,30
GO:0002204,,12
GO:0002206,,1
GO:0002208,,12
GO:0002209,,15
GO:0002213,,1
GO:0002215,,4
GO:0002218,,59
GO:0002220,,20
GO:0002221,,33
GO:0002223,,20
GO:0002224,,25
GO:0002225,,13
GO:0002227,,2
GO:0002228,,5
GO:0002230,,15
GO:0002232,,1
GO:0002237,,144
GO:0002238,,2
GO:0002244,,52
GO:0002246,,2
GO:0002248,,1
GO:0002250,,38
GO:0002251,,12
GO:0002252,,405
GO:0002253,,118
GO:0002260,,35
GO:0002262,,65
GO:0002263,,299
GO:0002265,,2
GO:0002274,,277
GO:0002275,,259
GO:0002276,,2
GO:0002277,,1
GO:0002278,,1
GO:0002279,,4
GO:0002281,,3
GO:0002283,,253
GO:0002285,,42
GO:0002286,,13
GO:0002287,,6
GO:0002291,,1
GO:0002292,,7
GO:0002293,,6
GO:0002294,,6
GO:0002295,,2
GO:0002309,,2
GO:0002312,,27
GO:0002313,,13
GO:0002314,,2
GO:0002315,,9
GO:0002316,,2
GO:0002318,,3
GO:0002320,,10
GO:0002322,,2
GO:0002323,,3
GO:0002326,,4
GO:0002327,,4
GO:0002328,,6
GO:0002329,,2
GO:0002331,,1
GO:0002332,,2
GO:0002333,,2
GO:0002335,,14
GO:0002339,,3
GO:0002343,,1
GO:0002344,,1
GO:0002347,,3
GO:0002349,,2
GO:0002351,,3
GO:0002352,,2
GO:0002358,,1
GO:0002360,,12
GO:0002361,,3
